Disease ID	Disease	TYPE of Disease	GeneSymbol	Inheritance
D-0208	遗传性耳聋	五官及肿瘤	GJB3	CX
D-0208	遗传性耳聋	五官及肿瘤	GJB6	CX
D-0208	遗传性耳聋	五官及肿瘤	TECTA	CX
D-0208	遗传性耳聋	五官及肿瘤	WFS1	CX
D-0239	干骨骺软骨发育不良	骨骼系统	COL11A2	CX
D-0241	非综合征型先天性指甲异常	骨骼系统	COL7A1	CX
D-0242	Stickler综合征	骨骼系统	COL11A2	CX
D-0266	常染色体显性低磷性佝偻病	骨骼系统	FGF23	CX
D-0274	Laron型孤立性生长激素缺陷	骨骼系统	GHR	CX
D-0300	扩张型心肌病1A型	骨骼系统	LMNA	CX
D-0389	年龄相关性黄斑变性	神经系统	FBLN5	CX
D-0402	胰岛细胞增生症	神经系统	KCNJ11	CX
D-0406	遗传性疼痛不敏感性无汗症	神经系统	NTRK1	CX
D-0415	先天性肌强直	神经系统	CLCN1	CX
D-0422	眼齿指综合征	神经系统	GJA1	CX
D-0423	眼咽型肌营养不良症	神经系统	PABPN1	CX
D-0429	小脑共济失调及进行性眼外肌麻痹	神经系统	POLG	CX
D-0435	中隔-眼发育不良序列征	神经系统	HESX1	CX
D-0436	包涵体肌病2	神经系统	GNE	CX
D-0444	远端型遗传性运动神经病	神经系统	BSCL2	CX
D-0444	远端型遗传性运动神经病	神经系统	HSPB1	CX
D-0454	脂肪代谢障碍	神经系统	BSCL2	CX
D-0458	Emery-Dreifuss肌营养不良	神经系统	LMNA	CX
D-0458	Emery-Dreifuss肌营养不良	神经系统	SYNE1	CX
D-0459	肌张力障碍	神经系统	GCH1	CX
D-0462	垂体激素缺乏	神经系统	POU1F1	CX
D-0463	线状体肌病	神经系统	TPM3	CX
D-0469	神经病	神经系统	EGR2	CX
D-0469	神经病	神经系统	HSPB1	CX
D-0471	癫痫相关基因	神经系统	SCN9A	CX
D-0471	癫痫相关基因	神经系统	CASR	CX
D-0471	癫痫相关基因	神经系统	CHRNA1	CX
D-0471	癫痫相关基因	神经系统	GLI2	CX
D-0471	癫痫相关基因	神经系统	KCNJ11	CX
D-0471	癫痫相关基因	神经系统	POLG	CX
D-0472	脑白质营养不良	神经系统	HSPD1	CX
D-0482	AicardiGoutieres综合征	神经系统	TREX1	CX
D-0484	早期小儿癫痫性脑病	神经系统	PCDH19	CX
D-0484	早期小儿癫痫性脑病	神经系统	SCN9A	CX
D-0488	脊髓小脑共济失调	神经系统	SYNE1	CX
D-0490	肌营养不良	神经系统	ANO5	CX
D-0490	肌营养不良	神经系统	CAV3	CX
D-0491	腓骨肌萎缩症	神经系统	MFN2	CX
D-0491	腓骨肌萎缩症	神经系统	MPZ	CX
D-0491	腓骨肌萎缩症	神经系统	PMP22	CX
D-0491	腓骨肌萎缩症	神经系统	PMP22	CX
D-0491	腓骨肌萎缩症	神经系统	SH3TC2	CX
D-0492	肌病	神经系统	DES	CX
D-0492	肌病	神经系统	RYR1	CX
D-0496	肌无力	神经系统	CHRNA1	CX
D-0496	肌无力	神经系统	CHRNB1	CX
D-0496	肌无力	神经系统	CHRND	CX
D-0496	肌无力	神经系统	CHRNE	CX
ND-0009	Neuromuscular Diseases Panel	神经	SGCD	CX
ND-0013	巴特综合征,肾小管和间质和代谢病	肾脏风湿	CLCNKA	CX
ND-0026	副甲狀腺功能低下	内分泌	PTH	CX
ND-0041	慢性肉芽肿症（chronicgranulomatous disease,CGD）	免疫系统	TNFRSF13B	CX
ND-0058	生长激素受体异常	儿保	IGF1R	CX
D-0024	丙酮酸脱氢酶缺乏症	代谢及免疫系统	PDHA1	XD
D-0061	糖原贮积症IIb型	代谢及免疫系统	LAMP2	XD
D-0101	珠蛋白生成障碍性贫血	血液系统疾病	ATRX	XD
D-0128	Alport综合征	泌尿生殖系统	COL4A5	XD
D-0141	抗维生素D佝偻病	泌尿生殖系统	PHEX	XD
D-0146	Fabry病	泌尿生殖系统	GLA	XD
D-0186	STAR综合征	内分泌系统	FAM58A	XD
D-0205	色素失调症	皮肤系统	IKBKG	XD
D-0253	软骨发育不良	骨骼系统	EBP	XD
D-0270	额骨骺发育不良	骨骼系统	FLNA	XD
D-0316	Joubert综合征10	骨骼系统	OFD1	XD
D-0337	Coffin-Lowry综合征	骨骼系统	RPS6KA3	XD
D-0453	智力障碍	神经系统	FMR1	XD
D-0458	Emery-Dreifuss肌营养不良	神经系统	FHL1	XD
D-0461	无脑回畸形	神经系统	DCX	XD
D-0471	癫痫相关基因	神经系统	CDKL5	XD
D-0471	癫痫相关基因	神经系统	DCX	XD
D-0471	癫痫相关基因	神经系统	FLNA	XD
D-0471	癫痫相关基因	神经系统	MECP2	XD
D-0471	癫痫相关基因	神经系统	SLC16A2	XD
D-0471	癫痫相关基因	神经系统	SLC9A6	XD
D-0480	线粒体呼吸链缺陷	神经系统	NDUFA1	XD
D-0484	早期小儿癫痫性脑病	神经系统	CDKL5	XD
D-0487	Angelman综合征	神经系统	CDKL5	XD
D-0487	Angelman综合征	神经系统	MECP2	XD
D-0491	腓骨肌萎缩症	神经系统	GJB1	XD
D-0494	Angelman综合征	神经系统	CDKL5	XD
D-0495	Rett综合征	神经系统	CDKL5	XD
D-0495	Rett综合征	神经系统	MECP2	XD
ND-0012	X联锁智力下降	儿保	MAGT1	XD
ND-0020	癫痫相关基因,spinal muscular atrophy	神经	CASK	XD
D-0009	葡萄糖-6-磷酸脱氢酶缺乏症	代谢及免疫系统	G6PD	XR
D-0050	黏多糖贮积症	代谢及免疫系统	IDS	XR
D-0053	粘多糖贮积症Ⅱ	代谢及免疫系统	IDS	XR
D-0068	糖原贮积症Ⅸd型	代谢及免疫系统	PHKA1	XR
D-0091	鸟氨酸氨甲酰基转移酶缺乏症	代谢及免疫系统	OTC	XR
D-0096	X连锁重症联合免疫缺陷病	代谢及免疫系统	IL2RG	XR
D-0100	WAS相关疾病	血液系统疾病	WAS	XR
D-0116	血友病	血液系统疾病	F8	XR
D-0116	血友病	血液系统疾病	F9	XR
D-0126	肾性尿崩症	泌尿生殖系统	AVPR2	XR
D-0144	Dent病	泌尿生殖系统	CLCN5	XR
D-0144	Dent病	泌尿生殖系统	OCRL	XR
D-0163	X-连锁低丙球蛋白血症	内分泌系统	BTK	XR
D-0182	X-连锁肾上腺脑白质营养不良	内分泌系统	ABCD1	XR
D-0189	雄激素不敏感综合征	内分泌系统	AR	XR
D-0190	智力低下	内分泌系统	SOX3	XR
D-0204	先天性角化不良综合症	皮肤系统	DKC1	XR
D-0208	遗传性耳聋	五官及肿瘤	POU3F4	XR
D-0212	眼脑肾综合征	五官及肿瘤	OCRL	XR
D-0265	Aarskog综合征	骨骼系统	FGD1	XR
D-0277	过度生长综合症	骨骼系统	GPC3	XR
D-0328	renpenning综合征1	骨骼系统	PQBP1	XR
D-0394	3-甲基戊二酸尿症Ⅱ型	神经系统	TAZ	XR
D-0401	超活性磷酸核糖焦磷酸合成酶	神经系统	PRPS1	XR
D-0404	尿道下裂Ⅱ型	神经系统	MAMLD1	XR
D-0417	X-连锁中央核肌病	神经系统	MTM1	XR
D-0425	佩利措伊斯-梅茨巴赫病	神经系统	PLP1	XR
D-0426	磷酸激酶1缺乏	神经系统	PGK1	XR
D-0456	脊髓性肌萎缩	神经系统	ATP7A	XR
D-0458	Emery-Dreifuss肌营养不良	神经系统	EMD	XR
D-0465	杜氏肌营养不良症	神经系统	DMD	XR
D-0471	癫痫相关基因	神经系统	ARX	XR
D-0471	癫痫相关基因	神经系统	ATP6AP2	XR
D-0471	癫痫相关基因	神经系统	IQSEC2	XR
D-0471	癫痫相关基因	神经系统	OPHN1	XR
D-0471	癫痫相关基因	神经系统	PHF6	XR
D-0471	癫痫相关基因	神经系统	SYN1	XR
D-0472	脑白质营养不良	神经系统	ABCD1	XR
D-0472	脑白质营养不良	神经系统	PLP1	XR
D-0484	早期小儿癫痫性脑病	神经系统	ARHGEF9	XR
D-0484	早期小儿癫痫性脑病	神经系统	ARX	XR
D-0491	腓骨肌萎缩症	神经系统	AIFM1	XR
ND-0012	X联锁智力下降	儿保	AP1S2	XR
ND-0012	X联锁智力下降	儿保	KDM5C	XR
ND-0012	X联锁智力下降	儿保	ZNF41	XR
ND-0012	X联锁智力下降	儿保	GDI1	XR
ND-0012	X联锁智力下降	儿保	ZNF81	XR
ND-0012	X联锁智力下降	儿保	DLG3	XR
ND-0012	X联锁智力下降	儿保	HUWE1	XR
ND-0012	X联锁智力下降	儿保	CUL4B	XR
ND-0012	X联锁智力下降	儿保	PAK3	XR
ND-0012	X联锁智力下降	儿保	SMS	XR
ND-0012	X联锁智力下降	儿保	GRIA3	XR
ND-0012	X联锁智力下降	儿保	IL1RAPL1	XR
ND-0012	X联锁智力下降	儿保	TM4SF2	XR
ND-0012	X联锁智力下降	儿保	RAB39B	XR
ND-0012	X联锁智力下降	儿保	SYP	XR
ND-0012	X联锁智力下降	儿保	ZDHHC9	XR
ND-0012	X联锁智力下降	儿保	ZNF674	XR
ND-0012	X联锁智力下降	儿保	FTSJ1	XR
ND-0012	X联锁智力下降	儿保	UBE2A	XR
ND-0012	X联锁智力下降	儿保	ARHGEF6	XR
ND-0012	X联锁智力下降	儿保	UPF3B	XR
ND-0012	X联锁智力下降	儿保	AGTR2	XR
ND-0012	X联锁智力下降	儿保	ACSL4	XR
ND-0012	X联锁智力下降，精神发育迟滞	儿保	HSD17B10	XR
ND-0034	家族性矮小	内分泌	CUL4B	XR
ND-0040	卡曼综合征	内分泌	KAL1	XR
ND-0041	慢性肉芽肿症（chronicgranulomatous disease,CGD）	免疫系统	CYBB	XR
ND-0071	智力相关-神经递质	儿保	MAOA	XR
D-0156	46,XY性发育不全综合征	内分泌系统	SRY	Y
D-0005	先天性中枢性低通气综合征	消化系统	PHOX2B	NA
D-0006	炎症性肠病	消化系统	IL10	NA
D-0006	炎症性肠病	消化系统	IL10RB	NA
D-0011	MERRF/MELAS重叠综合征	代谢及免疫系统	TRNS1	NA
D-0020	苯丙酮尿症	代谢及免疫系统	PCBD1	NA
D-0027	核黄素缺乏症	代谢及免疫系统	SLC52A1	NA
D-0032	高胱氨酸尿症	代谢及免疫系统	MMADHC	NA
D-0038	琥珀酸半醛脱氢酶缺乏症	代谢及免疫系统	ALDH1B1	NA
D-0042	3-甲基戊烯二酸尿症	代谢及免疫系统	SERAC1	NA
D-0044	甲状腺素结合球蛋白缺乏症	代谢及免疫系统	SERPINA7	NA
D-0074	埃勒斯-当洛斯综合症	代谢及免疫系统	B3GALT6	NA
D-0075	关节松弛型脊椎骨骺发育不良症	代谢及免疫系统	B3GALT6	NA
D-0077	多关节脱位,身材矮小,颅面部畸形及先天性心脏病综合征	代谢及免疫系统	B3GAT3	NA
D-0079	精神病	代谢及免疫系统	SLC1A1	NA
D-0079	精神病	代谢及免疫系统	SLC6A4	NA
D-0081	肉碱棕榈酰转移酶缺乏症	代谢及免疫系统	CPT1B	NA
D-0081	肉碱棕榈酰转移酶缺乏症	代谢及免疫系统	CRAT	NA
D-0083	三甲基胺尿症	代谢及免疫系统	FMO3	NA
D-0095	组胺酸血症	代谢及免疫系统	HAL	NA
D-0098	甲基维生素B12缺乏	代谢及免疫系统	MTR	NA
D-0101	珠蛋白生成障碍性贫血	血液系统疾病	HBHR	NA
D-0106	范可尼贫血	血液系统疾病	FANCG	NA
D-0109	特发性婴儿高钙血症	血液系统疾病	CYP24A1	NA
D-0110	Rotor综合征	血液系统疾病	SLCO1B1	NA
D-0110	Rotor综合征	血液系统疾病	SLCO1B3	NA
D-0111	家族性噬血细胞性淋巴组织细胞增生症	血液系统疾病	UNC13B	NA
D-0121	Noonan综合征	心血管系统	PTPN11	NA
D-0123	高脂蛋白血症	心血管系统	APOC5	NA
D-0124	局灶性阶段性肾小球硬化症	泌尿生殖系统	APOL1	NA
D-0127	肾小管性酸中毒	泌尿生殖系统	ATP6V1B1	NA
D-0127	肾小管性酸中毒	泌尿生殖系统	KCNK5	NA
D-0127	肾小管性酸中毒	泌尿生殖系统	SLC9A3	NA
D-0128	Alport综合征	泌尿生殖系统	COL4A6	NA
D-0133	莱施-尼汉综合征	泌尿生殖系统	HPRT1	NA
D-0134	肾病综合征	泌尿生殖系统	NPHS2	NA
D-0135	家族性IgA肾病	泌尿生殖系统	IGAN1	NA
D-0135	家族性IgA肾病	泌尿生殖系统	IGAN2	NA
D-0136	肾单位肾痨	泌尿生殖系统	TTC21B	NA
D-0136	肾单位肾痨	泌尿生殖系统	ZNF423	NA
D-0136	肾单位肾痨	泌尿生殖系统	CEP164	NA
D-0136	肾单位肾痨	泌尿生殖系统	WDR19	NA
D-0137	非典型溶血尿毒综合征	泌尿生殖系统	CFB	NA
D-0137	非典型溶血尿毒综合征	泌尿生殖系统	CFH	NA
D-0137	非典型溶血尿毒综合征	泌尿生殖系统	CD46	NA
D-0137	非典型溶血尿毒综合征	泌尿生殖系统	CAPG	NA
D-0138	多囊肾病	泌尿生殖系统	PKD3	NA
D-0138	多囊肾病	泌尿生殖系统	PKHD1	NA
D-0139	特发性高钙尿症	泌尿生殖系统	TRPV5	NA
D-0139	特发性高钙尿症	泌尿生殖系统	CALCR	NA
D-0150	肾髓质囊性病1型	内分泌系统	MUC1	NA
D-0155	MELAS综合征	内分泌系统	TRNL1	NA
D-0156	46,XY性发育不全综合征	内分泌系统	MAP3K1	NA
D-0156	46,XY性发育不全综合征	内分泌系统	NR0B1	NA
D-0156	46,XY性发育不全综合征	内分泌系统	DMRT1	NA
D-0156	46,XY性发育不全综合征	内分泌系统	LHX9	NA
D-0165	A2型短指症	内分泌系统	BMP2	NA
D-0174	甲状腺机能减退	内分泌系统	TSHB	NA
D-0175	甲状腺激素合成障碍	内分泌系统	DIO2	NA
D-0175	甲状腺激素合成障碍	内分泌系统	ZFAT	NA
D-0179	Kallmann综合征	内分泌系统	ANOS1	NA
D-0185	Waardenburg综合征Ⅱ型	内分泌系统	MITF	NA
D-0190	智力低下	内分泌系统	SOX8	NA
D-0190	智力低下	内分泌系统	TBR1	NA
D-0195	肺泡表面活性物质代谢障碍	呼吸系统	CSF2RB	NA
D-0196	大疱性表皮松解症与幽门闭锁	皮肤系统	PLEC	NA
D-0200	常染色体隐性先天性鳞癣	皮肤系统	ALOXE3	NA
D-0201	大疱性表皮松解症	皮肤系统	PLEC	NA
D-0207	外胚层发育不良	皮肤系统	EDA	NA
D-0208	遗传性耳聋	五官及肿瘤	ATP2B2	NA
D-0208	遗传性耳聋	五官及肿瘤	DFNB31	NA
D-0208	遗传性耳聋	五官及肿瘤	DFNB59	NA
D-0208	遗传性耳聋	五官及肿瘤	RNR1	NA
D-0209	少牙畸形	五官及肿瘤	AXIN2	NA
D-0209	少牙畸形	五官及肿瘤	PAX9	NA
D-0211	Stargardt病Ⅰ型	五官及肿瘤	ABCA4	NA
D-0214	视网膜母细胞瘤	五官及肿瘤	RB1	NA
D-0220	肾上腺糖皮质激素缺乏伴迟缓不能症	骨骼系统	AAAS	NA
D-0221	多毛型软骨发育不良	骨骼系统	ABCC9	NA
D-0223	骨骺软骨发育不良伴免疫调控异常	骨骼系统	ACP5	NA
D-0225	FRAXE智力低下	骨骼系统	AFF2	NA
D-0226	额鼻发育不良2型	骨骼系统	ALX4	NA
D-0227	常染色体显性颅骨干骺端发育不良	骨骼系统	ANKH	NA
D-0228	C样综合征	骨骼系统	ASXL1	NA
D-0229	尾重复畸形	骨骼系统	AXIN1	NA
D-0230	多关节脱位、身材矮小、颅面畸形及先天性心脏病	骨骼系统	B3GAT3	NA
D-0230	多关节脱位、身材矮小、颅面畸形及先天性心脏病	骨骼系统	CHST3	NA
D-0231	Bloom综合征	骨骼系统	BLM	NA
D-0232	成骨不全症	骨骼系统	BMP1	NA
D-0232	成骨不全症	骨骼系统	SP7	NA
D-0232	成骨不全症	骨骼系统	LEPRE1	NA
D-0232	成骨不全症	骨骼系统	SERPINF1	NA
D-0232	成骨不全症	骨骼系统	PPIB	NA
D-0232	成骨不全症	骨骼系统	LRP5	NA
D-0232	成骨不全症	骨骼系统	IFITM5	NA
D-0232	成骨不全症	骨骼系统	FKBP10	NA
D-0233	短指（趾）症	骨骼系统	BMP2	NA
D-0233	短指（趾）症	骨骼系统	ROR2	NA
D-0233	短指（趾）症	骨骼系统	BMPR1B	NA
D-0233	短指（趾）症	骨骼系统	PTHLH	NA
D-0233	短指（趾）症	骨骼系统	BDA1B	NA
D-0233	短指（趾）症	骨骼系统	IHH	NA
D-0233	短指（趾）症	骨骼系统	GDF5	NA
D-0234	Desbuquois综合征	骨骼系统	CANT1	NA
D-0235	3-M综合征	骨骼系统	CCDC8	NA
D-0235	3-M综合征	骨骼系统	OBSL1	NA
D-0236	C综合征	骨骼系统	CD96	NA
D-0237	Seckel综合征Ⅵ型	骨骼系统	CEP63	NA
D-0238	骨骼石化症	骨骼系统	TNFSF11	NA
D-0238	骨骼石化症	骨骼系统	TNFRSF11A	NA
D-0238	骨骼石化症	骨骼系统	TCIRG1	NA
D-0238	骨骼石化症	骨骼系统	SNX10	NA
D-0238	骨骼石化症	骨骼系统	CLCN7	NA
D-0239	干骨骺软骨发育不良	骨骼系统	COL10A1	NA
D-0239	干骨骺软骨发育不良	骨骼系统	PTH1R	NA
D-0240	软骨成长不全	骨骼系统	COL2A1	NA
D-0240	软骨成长不全	骨骼系统	SLC26A2	NA
D-0240	软骨成长不全	骨骼系统	FGFR3	NA
D-0240	软骨成长不全	骨骼系统	TRIP11	NA
D-0241	非综合征型先天性指甲异常	骨骼系统	FZD6	NA
D-0241	非综合征型先天性指甲异常	骨骼系统	PLCD1	NA
D-0241	非综合征型先天性指甲异常	骨骼系统	RSPO4	NA
D-0242	Stickler综合征	骨骼系统	COL9A1	NA
D-0242	Stickler综合征	骨骼系统	COL2A1	NA
D-0242	Stickler综合征	骨骼系统	COL9A2	NA
D-0243	多发性骨骺发育不良	骨骼系统	COL9A3	NA
D-0243	多发性骨骺发育不良	骨骼系统	COL2A1	NA
D-0243	多发性骨骺发育不良	骨骼系统	COL9A1	NA
D-0243	多发性骨骺发育不良	骨骼系统	COL9A2	NA
D-0243	多发性骨骺发育不良	骨骼系统	COMP	NA
D-0243	多发性骨骺发育不良	骨骼系统	MATN3	NA
D-0243	多发性骨骺发育不良	骨骼系统	SLC26A2	NA
D-0244	寒性出汗综合征	骨骼系统	CRLF1	NA
D-0245	骨发育不全	骨骼系统	CTSK	NA
D-0245	骨发育不全	骨骼系统	FLNB	NA
D-0245	骨发育不全	骨骼系统	SLC26A2	NA
D-0246	维生素D依赖性佝偻病	骨骼系统	CYP2R1	NA
D-0247	脊柱骨骺发育不良	骨骼系统	NKX3-2	NA
D-0248	脊椎肋骨发育不全	骨骼系统	DLL3	NA
D-0248	脊椎肋骨发育不全	骨骼系统	MESP2	NA
D-0248	脊椎肋骨发育不全	骨骼系统	HES7	NA
D-0248	脊椎肋骨发育不全	骨骼系统	LFNG	NA
D-0249	裂手/足畸形	骨骼系统	DLX5	NA
D-0249	裂手/足畸形	骨骼系统	SHFM1	NA
D-0249	裂手/足畸形	骨骼系统	SHFM3	NA
D-0249	裂手/足畸形	骨骼系统	WNT10B	NA
D-0249	裂手/足畸形	骨骼系统	TP63	NA
D-0250	Adams-Oliver综合征	骨骼系统	ARHGAP31	NA
D-0250	Adams-Oliver综合征	骨骼系统	DOCK6	NA
D-0250	Adams-Oliver综合征	骨骼系统	RBPJ	NA
D-0251	Smith-McCort发育不良	骨骼系统	DYM	NA
D-0253	软骨发育不良	骨骼系统	AGPS	NA
D-0253	软骨发育不良	骨骼系统	ARSE	NA
D-0253	软骨发育不良	骨骼系统	GNPAT	NA
D-0253	软骨发育不良	骨骼系统	LBR	NA
D-0254	Craniofrontonasal发育不良	骨骼系统	EFNB1	NA
D-0255	染色体9q缺失综合征	骨骼系统	EHMT1	NA
D-0257	软骨外胚层发育不全	骨骼系统	EVC	NA
D-0257	软骨外胚层发育不全	骨骼系统	EVC2	NA
D-0258	软骨肉瘤	骨骼系统	EXT1	NA
D-0258	软骨肉瘤	骨骼系统	EXT2	NA
D-0259	鳃耳综合征	骨骼系统	EYA1	NA
D-0259	鳃耳综合征	骨骼系统	SIX1	NA
D-0259	鳃耳综合征	骨骼系统	SIX5	NA
D-0260	颅骨硬化型纹状骨病	骨骼系统	AMER1	NA
D-0261	Raine综合征	骨骼系统	FAM20C	NA
D-0262	并指（趾）多指（趾）畸形	骨骼系统	FBLN1	NA
D-0262	并指（趾）多指（趾）畸形	骨骼系统	FBXW4	NA
D-0263	Geleophysic发育不良症	骨骼系统	FBN1	NA
D-0263	Geleophysic发育不良症	骨骼系统	ADAMTSL2	NA
D-0264	先天性挛缩性细长指（趾）	骨骼系统	FBN2	NA
D-0267	迷路发育不良型耳聋及小耳、小牙畸形	骨骼系统	FGF3	NA
D-0271	三角头畸形Ⅱ型	骨骼系统	FREM1	NA
D-0272	房间隔缺损Ⅸ型	骨骼系统	GATA6	NA
D-0273	克利佩尔-费尔综合征	骨骼系统	GDF3	NA
D-0273	克利佩尔-费尔综合征	骨骼系统	GDF6	NA
D-0276	Greig头多指（趾）综合征	骨骼系统	GLI3	NA
D-0278	范德沃德氏综合征	骨骼系统	GRHL3	NA
D-0278	范德沃德氏综合征	骨骼系统	IRF6	NA
D-0278	范德沃德氏综合征	骨骼系统	WDR65	NA
D-0279	多动秽语综合征	骨骼系统	GTS	NA
D-0280	Russell-Silver综合征	骨骼系统	H19	NA
D-0280	Russell-Silver综合征	骨骼系统	IGF2	NA
D-0281	染色体2q37缺失综合征	骨骼系统	HDAC4	NA
D-0282	Tourette综合征	骨骼系统	HDC	NA
D-0282	Tourette综合征	骨骼系统	SLITRK1	NA
D-0283	阿巴卡韦/痛可宁过敏症	骨骼系统	HLA-B	NA
D-0284	桡尺骨骨性联接伴巨核红细胞血小板减少症	骨骼系统	HOXA11	NA
D-0285	手-足-性腺综合征	骨骼系统	HOXA13	NA
D-0286	骨膜增生性厚皮综合征	骨骼系统	HPGD	NA
D-0287	窒息性胸廓萎缩	骨骼系统	IFT80	NA
D-0287	窒息性胸廓萎缩	骨骼系统	TTC21B	NA
D-0287	窒息性胸廓萎缩	骨骼系统	WDR19	NA
D-0288	短肋骨-多指（趾）综合征	骨骼系统	WDR35	NA
D-0288	短肋骨-多指（趾）综合征	骨骼系统	NEK1	NA
D-0290	颅缝早闭和牙齿畸形	骨骼系统	IL11RA	NA
D-0291	克罗恩病相关的生长障碍	骨骼系统	IL6	NA
D-0292	歌舞伎综合征	骨骼系统	KDM6A	NA
D-0292	歌舞伎综合征	骨骼系统	MLL2	NA
D-0293	肿瘤钙化,高磷血症	骨骼系统	KL	NA
D-0294	大疱性鱼鳞病样红皮病	骨骼系统	KRT1	NA
D-0296	表皮松解性掌跖角化病	骨骼系统	KRT9	NA
D-0297	Buschke-Ollendorff综合征	骨骼系统	LEMD3	NA
D-0298	Stuve-Wiedemann综合征	骨骼系统	LIFR	NA
D-0299	无手足	骨骼系统	LMBR1	NA
D-0301	Cenani-Lenz并指综合征	骨骼系统	LRP4	NA
D-0303	X连锁OPITZG/BBB综合征	骨骼系统	MID1	NA
D-0304	少年系统性类风湿关节炎	骨骼系统	MIF	NA
D-0305	McKusick-Kaufman综合征	骨骼系统	MKKS	NA
D-0306	密苏里型先天性脊柱骨骺发育不良	骨骼系统	MMP13	NA
D-0307	多发性骨溶解	骨骼系统	MMP2	NA
D-0308	干骺端anadysplasia2	骨骼系统	MMP9	NA
D-0309	Currarino综合征	骨骼系统	MNX1	NA
D-0310	放大顶骨孔/颅裂	骨骼系统	MSX2	NA
D-0313	腕管综合征（TCC）联合睑板	骨骼系统	NOG	NA
D-0315	肢端中部发育不良Maroteaux类型	骨骼系统	NPR2	NA
D-0317	石骨症的常染色体隐性遗传5	骨骼系统	OSTM1	NA
D-0318	耳牙发育不全综合征	骨骼系统	OTDD	NA
D-0319	巴基斯坦型先天性脊柱骨骺发育不良	骨骼系统	PAPSS2	NA
D-0320	颅颌面综合征	骨骼系统	PAX3	NA
D-0321	过氧化物酶体的生物合成障碍4A	骨骼系统	PDB4	NA
D-0322	肢端发育不全	骨骼系统	PDE4D	NA
D-0323	糖尿病2型	骨骼系统	PDX1	NA
D-0325	石骨症的常染色体隐性遗传6	骨骼系统	PLEKHM1	NA
D-0326	赖氨酸羟化酶缺乏3	骨骼系统	PLOD3	NA
D-0327	TreacherCollins综合征	骨骼系统	POLR1C	NA
D-0327	TreacherCollins综合征	骨骼系统	TCOF1	NA
D-0327	TreacherCollins综合征	骨骼系统	POLR1D	NA
D-0329	肢端发育不全	骨骼系统	PRKAR1A	NA
D-0330	尖头并指多指型2	骨骼系统	RAB23	NA
D-0331	Smith-Magenis综合征	骨骼系统	RAI1	NA
D-0332	小头畸形的精神发育迟滞和手指异常	骨骼系统	RBBP8	NA
D-0333	血小板减少症-缺席半径综合征	骨骼系统	RBM8A	NA
D-0335	Rothmund-Thomson综合征	骨骼系统	RECQL4	NA
D-0336	Martinez-Frias综合征	骨骼系统	RFX6	NA
D-0338	锁骨颅骨发育不全	骨骼系统	RUNX2	NA
D-0339	指端-肾-眼综合征	骨骼系统	SALL4	NA
D-0341	CHARGE综合征相关	骨骼系统	SEMA3E	NA
D-0342	颌骨骨纤维异常增生症	骨骼系统	SH3BP2	NA
D-0343	Frank-terHaar综合征	骨骼系统	SH3PXD2B	NA
D-0345	StoccodosSantos综合征	骨骼系统	SHROOM4	NA
D-0346	动脉迂曲综合征	骨骼系统	SLC2A10	NA
D-0347	新生儿致命的软骨发育不良	骨骼系统	SLC35D1	NA
D-0348	原发性肥大性骨关节病	骨骼系统	SLCO2A1	NA
D-0350	脑发育不全、神经病变、鱼鳞病和掌跖角化综合征	骨骼系统	SNAP29	NA
D-0351	硬化性狭窄	骨骼系统	SOST	NA
D-0353	Paget骨病	骨骼系统	SQSTM1	NA
D-0353	Paget骨病	骨骼系统	TNFRSF11B	NA
D-0354	表哥综合征	骨骼系统	TBX15	NA
D-0355	尺侧乳腺综合征	骨骼系统	TBX3	NA
D-0356	小髌骨综合征	骨骼系统	TBX4	NA
D-0357	Holt-Oram综合征	骨骼系统	TBX5	NA
D-0358	骨干发育不良	骨骼系统	TGFB1	NA
D-0359	Rienhoff综合征	骨骼系统	TGFB3	NA
D-0360	脊椎骨骺迟缓性发育不良	骨骼系统	TRAPPC2	NA
D-0362	Ⅰ型毛发-鼻-指(趾)综合征	骨骼系统	TRPS1	NA
D-0363	颅缝早闭Ⅰ型	骨骼系统	TWIST1	NA
D-0365	科恩综合征	骨骼系统	VPS13B	NA
D-0366	进行性假类风湿性骨发育不良	骨骼系统	WISP3	NA
D-0367	Tetra-Amelia综合征	骨骼系统	WNT3	NA
D-0368	常染色体显性Robinow综合征	骨骼系统	WNT5A	NA
D-0369	肢体/骨盆发育不全综合征	骨骼系统	WNT7A	NA
D-0370	Werner综合征	骨骼系统	WRN	NA
D-0372	Loeys-Dietz综合征Ⅱ型	骨骼系统	TGFBR2	NA
D-0374	Gower肌营养不良	神经系统	TIA1	NA
D-0389	年龄相关性黄斑变性	神经系统	HTRA1	NA
D-0409	致死性先天性挛缩综合征	神经系统	ERBB3	NA
D-0409	致死性先天性挛缩综合征	神经系统	MYBPC1	NA
D-0409	致死性先天性挛缩综合征	神经系统	PIP5K1C	NA
D-0413	肌肉肥大	神经系统	MSTN	NA
D-0424	阵发性手足徐动症	神经系统	PNKD	NA
D-0428	脑桥小脑发育不全	神经系统	EXOSC3	NA
D-0438	减缓神经传导速度	神经系统	ARHGEF10	NA
D-0441	Usher综合征	神经系统	ADGRV1	NA
D-0441	Usher综合征	神经系统	HARS	NA
D-0442	甲亢性周期性瘫痪	神经系统	KCNJ18	NA
