Gene/Locus,Gene/Locus_name,Gene/Locus_MIM_number,Phenotype,Phenotype_MIM_number,Inheritance,Comments,Gene
"EPO, MVCD2, ECYT5",Erythropoietin,133170,"Erythrocytosis, familial, 5",617907,-,-,EPO
"EPO, MVCD2, ECYT5",Erythropoietin,133170,{Microvascular complications of diabetes 2},612623,-,-,EPO
"EPHB4, HTK, MYK1, HFASD",Ephrin receptor EphB4 (hepatoma transmembrane kinase),600011,"{Hydrops fetalis, nonimmune, and/or atrial septal defect}",617300,AD,-,EPHB4
"ACHE, YT",Acetylcholinesterase (YT blood group),100740,"[Blood group, Yt system]",112100,-,blood group YT (112100) = epitope of ACHE,ACHE
"PAI1, PLANH1, SERPINE1","Plasminogen activator inhibitor, type I",173360,Plasminogen activator inhibitor-1 deficiency,613329,"AD,AR",-,PAI1
"PAI1, PLANH1, SERPINE1","Plasminogen activator inhibitor, type I",173360,"{Transcription of plasminogen activator inhibitor, modulator of}",-,-,-,PAI1
"AP1S1, CLAPS1, AP19, MEDNIK","Adaptor-related protein complex 1, sigma 1 subunit",603531,MEDNIK syndrome,609313,AR,-,AP1S1
"PLOD3, LH3","Procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3 (lysyl hydroxylase 3)",603066,Lysyl hydroxylase 3 deficiency,612394,AR,previously assigned to 7q36,PLOD3
"SLC26A5, PRES, DFNB61","Solute carrier family 26, member 5",604943,"?Deafness, autosomal recessive 61",613865,AR,mutation identified in 1 DFNB61 family,SLC26A5
"RELN, RL, LIS2, ETL7",Reelin,600514,Lissencephaly 2 (Norman-Roberts type),257320,AR,-,RELN
"RELN, RL, LIS2, ETL7",Reelin,600514,"{Epilepsy, familial temporal lobe, 7}",616436,AD,-,RELN
"COG5, GOLTC1, GTC90, CDG2I",Component of oligomeric golgi complex 5,606821,"Congenital disorder of glycosylation, type IIi",613612,-,-,COG5
"SLC26A4, PDS, DFNB4, EVA, TDH2B","Solute carrier family 26 (sulfate transporter), member 4",605646,"Deafness, autosomal recessive 4, with enlarged vestibular aqueduct",600791,AR,some patients have digenic mutations with FOXI1,SLC26A4
"SLC26A4, PDS, DFNB4, EVA, TDH2B","Solute carrier family 26 (sulfate transporter), member 4",605646,Pendred syndrome,274600,AR,-,SLC26A4
"SLC26A3, DRA, CLD","Solute carrier family 26 (sulfate transporter), member 3",126650,"Diarrhea 1, secretory chloride, congenital",214700,AR,5' and close to PDS,SLC26A3
"DLD, LAD, PHE3, DLDD","Dihydrolipoamide dehydrogenase (E3 component of pyruvate dehydrogenase complex, 2-oxo-glutarate complex)",238331,Dihydrolipoamide dehydrogenase deficiency,246900,AR,-,DLD
"LAMB1, LIS5","Laminin, beta-1",150240,Lissencephaly 5,615191,AR,-,LAMB1
"PNPLA8, MMLA",Patatin-like phospholipase domain-containing protein 8,612123,?Mitochondrial myopathy with lactic acidosis,251950,AR,mutation identified in 1 MMLA family,PNPLA8
"PPP1R3A, PPP1R3","Protein phosphatase 1, regulatory subunit 3A",600917,"Insulin resistance, severe, digenic",125853,AD,-,PPP1R3A
"FOXP2, SPCH1, TNRC10, CAGH44",Forkhead box P2,605317,Speech-language disorder-1,602081,AD,-,FOXP2
"CAV1, BSCL3, CGL3, PPH3, LCCNS",Caveolin-1,601047,"?Lipodystrophy, congenital generalized, type 3",612526,-,mutation identified in 1 CGL3 family; mutation identified in 1 LCCNS family,CAV1
"CAV1, BSCL3, CGL3, PPH3, LCCNS",Caveolin-1,601047,"?Partial lipodystrophy, congenital cataracts, and neurodegeneration syndrome",606721,AD,-,CAV1
"CAV1, BSCL3, CGL3, PPH3, LCCNS",Caveolin-1,601047,"Pulmonary hypertension, primary, 3",615343,AD,-,CAV1
"MET, DFNB97, OSFD",Oncogene MET,164860,"?Deafness, autosomal recessive 97",616705,AR,mutation identified in 1 DFNB97 family,MET
"MET, DFNB97, OSFD",Oncogene MET,164860,"Hepatocellular carcinoma, childhood type, somatic",114550,-,-,MET
"MET, DFNB97, OSFD",Oncogene MET,164860,"Renal cell carcinoma, papillary, 1, familial and somatic",605074,-,-,MET
"MET, DFNB97, OSFD",Oncogene MET,164860,"{Osteofibrous dysplasia, susceptibility to}",607278,AD,-,MET
"CFTR, ABCC7, CF, MRP7","Cystic fibrosis transmembrane conductance regulator (ATP-binding cassette, subfamily C, member 7)",602421,Congenital bilateral absence of vas deferens,277180,AR,distal and 5' to MET,CFTR
"CFTR, ABCC7, CF, MRP7","Cystic fibrosis transmembrane conductance regulator (ATP-binding cassette, subfamily C, member 7)",602421,Cystic fibrosis,219700,AR,-,CFTR
"CFTR, ABCC7, CF, MRP7","Cystic fibrosis transmembrane conductance regulator (ATP-binding cassette, subfamily C, member 7)",602421,Sweat chloride elevation without CF,-,-,-,CFTR
"CFTR, ABCC7, CF, MRP7","Cystic fibrosis transmembrane conductance regulator (ATP-binding cassette, subfamily C, member 7)",602421,"{Bronchiectasis with or without elevated sweat chloride 1, modifier of}",211400,AD,-,CFTR
"CFTR, ABCC7, CF, MRP7","Cystic fibrosis transmembrane conductance regulator (ATP-binding cassette, subfamily C, member 7)",602421,"{Hypertrypsinemia, neonatal}",-,-,-,CFTR
"CFTR, ABCC7, CF, MRP7","Cystic fibrosis transmembrane conductance regulator (ATP-binding cassette, subfamily C, member 7)",602421,"{Pancreatitis, idiopathic}",167800,AD,-,CFTR
"TSPAN12, NET2, EVR5",Tetraspanin 12,613138,Exudative vitreoretinopathy 5,613310,AD,-,TSPAN12
"PTPRZ1, PTP18","Protein-tyrosine phosphatase, receptor-type, zeta-1, polypeptide",176891,"{H. pylori infection, susceptibility to}",600263,-,-,PTPRZ1
AASS,Alpha-aminoadipic semialdehyde synthase,605113,Hyperlysinemia,238700,AR,-,AASS
AASS,Alpha-aminoadipic semialdehyde synthase,605113,Saccharopinuria,268700,AR,-,AASS
"FEZF1, FEZ, ZNF312B, HH22",FEZ family zinc finger protein 1,613301,"Hypogonadotropic hypogonadism 22, with or without anosmia",616030,AR,-,FEZF1
"TAS2R16, T2R16","Taste receptor type 2, member 16",604867,[Beta-glycopyranoside tasting],-,-,-,TAS2R16
"TAS2R16, T2R16","Taste receptor type 2, member 16",604867,"{Alcohol dependence, susceptibility to}",103780,Mu,-,TAS2R16
"POT1, CMM10, GLM9",Protection of telomeres 1,606478,{Glioma susceptibility 9},616568,AD,-,POT1
"POT1, CMM10, GLM9",Protection of telomeres 1,606478,"{Melanoma, cutaneous malignant, susceptibility to, 10}",615848,AD,-,POT1
"PAX4, MODY9, KPD",Paired box homeotic gene-4,167413,"Diabetes mellitus, type 2",125853,AD,-,PAX4
"PAX4, MODY9, KPD",Paired box homeotic gene-4,167413,"Maturity-onset diabetes of the young, type IX",612225,-,-,PAX4
"PAX4, MODY9, KPD",Paired box homeotic gene-4,167413,"{Diabetes mellitus, ketosis-prone, susceptibility to}",612227,"AD,AR",-,PAX4
"LEP, OB, LEPD",Leptin (murine obesity homolog),164160,"Obesity, morbid, due to leptin deficiency",614962,AR,in mouse cen-Cola-2-Met-ob-Cpa-Tcrb-tel,LEP
"RBM28, ANES",RNA-binding motif protein 28,612074,"?Alopecia, neurologic defects, and endocrinopathy syndrome",612079,AR,mutation identified in 1 ANES family,RBM28
"IMPDH1, RP10, LCA11","Inosine-5'-monophosphate dehydrogenase, type I",146690,Leber congenital amaurosis 11,613837,-,pseudogene on 16p13.13,IMPDH1
"IMPDH1, RP10, LCA11","Inosine-5'-monophosphate dehydrogenase, type I",146690,Retinitis pigmentosa 10,180105,AD,-,IMPDH1
"OPN1SW, BCP, CBT","Blue cone pigment (opsin 1, short-wave-sensitive)",613522,"Colorblindness, tritan",190900,AD,-,OPN1SW
"FLNC, FLN2, ABPA, ABPL, MFM5, MPD4, CMH26, RCM5",Filamin C (actin-binding protein-280),102565,"Cardiomyopathy, familial hypertrophic, 26",-,-,-,FLNC
"FLNC, FLN2, ABPA, ABPL, MFM5, MPD4, CMH26, RCM5",Filamin C (actin-binding protein-280),102565,"Cardiomyopathy, familial restrictive 5",617047,AD,-,FLNC
"FLNC, FLN2, ABPA, ABPL, MFM5, MPD4, CMH26, RCM5",Filamin C (actin-binding protein-280),102565,"Myopathy, distal, 4",614065,AD,-,FLNC
"FLNC, FLN2, ABPA, ABPL, MFM5, MPD4, CMH26, RCM5",Filamin C (actin-binding protein-280),102565,"Myopathy, myofibrillar, 5",609524,AD,-,FLNC
"IRF5, IBD14, SLEB10",Interferon regulatory factor 5,607218,{Inflammatory bowel disease 14},612245,-,-,IRF5
"IRF5, IBD14, SLEB10",Interferon regulatory factor 5,607218,"{Systemic lupus erythematosus, susceptibility to, 10}",612251,-,-,IRF5
"TNPO3, TRNSR, LGMD1F",Transportin 3,610032,"Muscular dystrophy, limb-girdle, type 1F",608423,AD,-,TNPO3
"SMOH, SMO, CRJS","Smoothened, Drosophila, homolog of",601500,"Basal cell carcinoma, somatic",605462,-,-,SMOH
"SMOH, SMO, CRJS","Smoothened, Drosophila, homolog of",601500,"Curry-Jones syndrome, somatic mosaic",601707,-,-,SMOH
"MIR96, MIRN96, DFNA50",Micro RNA 96,611606,"Deafness, autosomal dominant 50",613074,AD,-,MIR96
"CEP41, TSGA14, JBTS15","Centrosomal protein, 41kD",610523,Joubert syndrome 15,614464,AR,-,CEP41
BPGM,"2,3-bisphosphoglycerate mutase",613896,Erythrocytosis due to bisphosphoglycerate mutase deficiency,222800,AR,-,BPGM
"NUP205, C7orf14, KIAA0225, NPHS13","Nucleoporin, 205kD",614352,"?Nephrotic syndrome, type 13",616893,-,mutation identified in 1 NPHS13 family,NUP205
"AKR1D1, SRD5B1, CBAS2","Bile acid synthesis defect, congenital, 2",604741,"Bile acid synthesis defect, congenital, 2",235555,AR,-,AKR1D1
"ATP6V0A4, ATP6N1B, VPP2, RTA1C, RTADR","ATPase, H+ transporting, lysosomal V0 subunit a isoform 4",605239,"Renal tubular acidosis, distal, autosomal recessive",602722,-,-,ATP6V0A4
"TBXAS1, GHOSAL, CYP5, BDPLT14","Thromboxane A synthase 1, platelet",274180,?Thromboxane synthase deficiency,614158,AD,-,TBXAS1
"TBXAS1, GHOSAL, CYP5, BDPLT14","Thromboxane A synthase 1, platelet",274180,Ghosal hematodiaphyseal syndrome,231095,AR,-,TBXAS1
"BRAF, NS7",Murine sarcoma viral (v-raf) oncogene homolog B1,164757,"Adenocarcinoma of lung, somatic",211980,-,pseudogene BRAF2 on Xq13 or 7q,BRAF
"BRAF, NS7",Murine sarcoma viral (v-raf) oncogene homolog B1,164757,Cardiofaciocutaneous syndrome,115150,AD,-,BRAF
"BRAF, NS7",Murine sarcoma viral (v-raf) oncogene homolog B1,164757,"Colorectal cancer, somatic",-,-,-,BRAF
"BRAF, NS7",Murine sarcoma viral (v-raf) oncogene homolog B1,164757,LEOPARD syndrome 3,613707,AD,-,BRAF
"BRAF, NS7",Murine sarcoma viral (v-raf) oncogene homolog B1,164757,"Melanoma, malignant, somatic",-,-,-,BRAF
"BRAF, NS7",Murine sarcoma viral (v-raf) oncogene homolog B1,164757,"Nonsmall cell lung cancer, somatic",-,-,-,BRAF
"BRAF, NS7",Murine sarcoma viral (v-raf) oncogene homolog B1,164757,Noonan syndrome 7,613706,AD,-,BRAF
"AGK, MULK, MTDPS10, CATC5, CTRCT38",Acylglycerol kinase,610345,"Cataract 38, autosomal recessive",614691,AR,-,AGK
"AGK, MULK, MTDPS10, CATC5, CTRCT38",Acylglycerol kinase,610345,Sengers syndrome,212350,AR,-,AGK
"TAS2R38, T2R61, PTC","Taste receptor, type 2, member 38",607751,[Phenylthiocarbamide tasting],171200,AD,-,TAS2R38
"PRSS1, TRY1","Protease, serine, 1 (trypsin 1)",276000,"Pancreatitis, hereditary",167800,AD,8 trypsinogen genes embedded in TCRB locus,PRSS1
"PRSS1, TRY1","Protease, serine, 1 (trypsin 1)",276000,Trypsinogen deficiency,614044,AR,-,PRSS1
"PRSS2, TRY2","Protease, serine, 2 (trypsin 2)",601564,"{Pancreatitis, chronic, protection against}",167800,AD,-,PRSS2
KEL,Kell blood group,613883,"[Blood group, Kell]",110900,-,-,KEL
CLCN1,"Chloride channel-1, skeletal muscle",118425,"Myotonia congenita, dominant",160800,AD,-,CLCN1
CLCN1,"Chloride channel-1, skeletal muscle",118425,"Myotonia congenita, recessive",255700,AR,-,CLCN1
CLCN1,"Chloride channel-1, skeletal muscle",118425,"Myotonia levior, recessive",-,-,-,CLCN1
"NOBOX, POF5","Newborn ovary homeobox, mouse, homolog of",610934,Premature ovarian failure 5,611548,AD,-,NOBOX
"TPK1, THMD5",Thiamine pyrophosphokinase,606370,Thiamine metabolism dysfunction syndrome 5 (episodic encephalopathy type),614458,AR,-,TPK1
"CNTNAP2, CASPR2, NRXN4, CDFE, AUTS15, PTHSL1",Contactin-associated protein-like 2,604569,Cortical dysplasia-focal epilepsy syndrome,610042,AR,-,CNTNAP2
"CNTNAP2, CASPR2, NRXN4, CDFE, AUTS15, PTHSL1",Contactin-associated protein-like 2,604569,Pitt-Hopkins like syndrome 1,610042,AR,-,CNTNAP2
"CNTNAP2, CASPR2, NRXN4, CDFE, AUTS15, PTHSL1",Contactin-associated protein-like 2,604569,{Autism susceptibility 15},612100,-,-,CNTNAP2
"EZH2, EZH1, WVS","Enhancer of zeste, Drosophila, homolog of, 2",601573,Weaver syndrome,277590,AD,pseudogene on 21q22,EZH2
"KCNH2, LQT2, HERG, SQT1","Potassium voltage-gated channel, subfamily H, member 2 (human ether-a-go-go-related gene)",152427,Long QT syndrome 2,613688,AD,-,KCNH2
"KCNH2, LQT2, HERG, SQT1","Potassium voltage-gated channel, subfamily H, member 2 (human ether-a-go-go-related gene)",152427,Short QT syndrome 1,609620,-,-,KCNH2
"KCNH2, LQT2, HERG, SQT1","Potassium voltage-gated channel, subfamily H, member 2 (human ether-a-go-go-related gene)",152427,"{Long QT syndrome 2, acquired, susceptibility to}",613688,AD,-,KCNH2
NOS3,"Nitric oxide synthase 3, endothelial cell",163729,"{Alzheimer disease, late-onset, susceptibility to}",104300,AD,-,NOS3
NOS3,"Nitric oxide synthase 3, endothelial cell",163729,"{Coronary artery spasm 1, susceptibility to}",-,-,-,NOS3
NOS3,"Nitric oxide synthase 3, endothelial cell",163729,"{Hypertension, pregnancy-induced}",189800,AD,-,NOS3
NOS3,"Nitric oxide synthase 3, endothelial cell",163729,"{Hypertension, susceptibility to}",145500,Mu,-,NOS3
NOS3,"Nitric oxide synthase 3, endothelial cell",163729,"{Ischemic stroke, susceptibility to}",601367,Mu,-,NOS3
NOS3,"Nitric oxide synthase 3, endothelial cell",163729,{Placental abruption},-,-,-,NOS3
"CDK5, LIS7",Cyclin-dependent kinase 5,123831,?Lissencephaly 7 with cerebellar hypoplasia,616342,AR,mutation identified in 1 LIS7 family,CDK5
"ASB10, GLC1F",Ankyrin repeat- and SOCS box-containing protein 10,615054,"Glaucoma 1, open angle, F",603383,-,-,ASB10
"PRKAG2, WPWS, CMH6","Protein kinase, AMP-activated, noncatalytic, gamma-2",602743,"Cardiomyopathy, hypertrophic 6",600858,AD,-,PRKAG2
"PRKAG2, WPWS, CMH6","Protein kinase, AMP-activated, noncatalytic, gamma-2",602743,"Glycogen storage disease of heart, lethal congenital",261740,AD,-,PRKAG2
"PRKAG2, WPWS, CMH6","Protein kinase, AMP-activated, noncatalytic, gamma-2",602743,Wolff-Parkinson-White syndrome,194200,?AD,-,PRKAG2
"KMT2C, MLL3, KIAA1506, KLEFS2",Lysine (K)-specific methyltransferase 2C,606833,Kleefstra syndrome 2,617768,AD,-,KMT2C
"XRCC2, FANCU","X-ray repair, complementing defective, repair in Chinese hamster cells-2",600375,"?Fanconi anemia, complementation group U",617247,AR,mutation identified in 1 FANCU patient,XRCC2
"DPP6, VF2, MRD33",Dipeptidylpeptidase VI,126141,"Mental retardation, autosomal dominant 33",616311,-,-,DPP6
"DPP6, VF2, MRD33",Dipeptidylpeptidase VI,126141,"{Ventricular fibrillation, paroxysmal familial, 2}",612956,AD,-,DPP6
"SCZD16, C16DUPq36.3, DUP7q36.3","Chromosome 7q36.3 duplication syndrome, 362kb",613959,Schizophrenia 16,613959,-,362kb duplication that includes VIPR2,SCZD16
"SHH, HPE3, HLP3, SMMCI, MCOPCB5",Sonic hedgehog,600725,Holoprosencephaly 3,142945,AD,separate from TPT1,SHH
"SHH, HPE3, HLP3, SMMCI, MCOPCB5",Sonic hedgehog,600725,Microphthalmia with coloboma 5,611638,AD,-,SHH
"SHH, HPE3, HLP3, SMMCI, MCOPCB5",Sonic hedgehog,600725,Schizencephaly,269160,-,-,SHH
"SHH, HPE3, HLP3, SMMCI, MCOPCB5",Sonic hedgehog,600725,Single median maxillary central incisor,147250,AD,-,SHH
"LMBR1, ACHP, C7orf2, PPD2, THYP, LSS","Limb region 1, mouse, homolog of",605522,Acheiropody,200500,AR,-,LMBR1
"LMBR1, ACHP, C7orf2, PPD2, THYP, LSS","Limb region 1, mouse, homolog of",605522,Hypoplastic or aplastic tibia with polydactyly,188740,AD,-,LMBR1
"LMBR1, ACHP, C7orf2, PPD2, THYP, LSS","Limb region 1, mouse, homolog of",605522,Laurin-Sandrow syndrome,135750,AD,-,LMBR1
"LMBR1, ACHP, C7orf2, PPD2, THYP, LSS","Limb region 1, mouse, homolog of",605522,"Polydactyly, preaxial type II",174500,AD,-,LMBR1
"LMBR1, ACHP, C7orf2, PPD2, THYP, LSS","Limb region 1, mouse, homolog of",605522,"Syndactyly, type IV",186200,AD,-,LMBR1
"LMBR1, ACHP, C7orf2, PPD2, THYP, LSS","Limb region 1, mouse, homolog of",605522,"Triphalangeal thumb, type I",174500,AD,-,LMBR1
"LMBR1, ACHP, C7orf2, PPD2, THYP, LSS","Limb region 1, mouse, homolog of",605522,Triphalangeal thumb-polysyndactyly syndrome,174500,AD,-,LMBR1
"MNX1, HLXB9, HOXHB9, SCRA1",Motor neuron and pancreas homeobox 1,142994,Currarino syndrome,176450,AD,-,MNX1
"DNAJB6, MRJ, DJ4, LGMD1E","DNAJ/HSP40 homolog, subfamily B, member 6",611332,"Muscular dystrophy, limb-girdle, type 1E",603511,AD,previously assigned to 11q25,DNAJB6
"WDR60, SRTD8, SRPS6",WD repeat containing protein 60,615462,Short-rib thoracic dysplasia 8 with or without polydactyly,615503,AR,-,WDR60
"CLN8, EPMR",CLN8 gene,607837,"Ceroid lipofuscinosis, neuronal, 8",600143,AR,-,CLN8
"CLN8, EPMR",CLN8 gene,607837,"Ceroid lipofuscinosis, neuronal, 8, Northern epilepsy variant",610003,AR,-,CLN8
"ARHGEF10, KIAA0294, SNCV",Rho guanine nucleotide exchange factor 10,608136,"?Slowed nerve conduction velocity, AD",608236,AD,mutation identified in 1 SNCV family,ARHGEF10
MCPH1,Microcephalin,607117,"Microcephaly 1, primary, autosomal recessive",251200,AR,genetic heterogeneity,MCPH1
RP1L1,RP1-like protein 1,608581,Occult macular dystrophy,613587,AD,-,RP1L1
"BLK, MODY11",BLK nonreceptor tyrosine kinase,191305,"Maturity-onset diabetes of the young, type 11",613375,AD,-,BLK
"GATA4, ASD2, VSD1, TACHD, TOF",GATA-binding protein-4,600576,?Testicular anomalies with or without congenital heart disease,615542,AD,mutations identified in 1 TACHD family,GATA4
"GATA4, ASD2, VSD1, TACHD, TOF",GATA-binding protein-4,600576,Atrial septal defect 2,607941,AD,-,GATA4
"GATA4, ASD2, VSD1, TACHD, TOF",GATA-binding protein-4,600576,Atrioventricular septal defect 4,614430,AD,-,GATA4
"GATA4, ASD2, VSD1, TACHD, TOF",GATA-binding protein-4,600576,Tetralogy of Fallot,187500,AD,-,GATA4
"GATA4, ASD2, VSD1, TACHD, TOF",GATA-binding protein-4,600576,Ventricular septal defect 1,614429,AD,-,GATA4
DLC1,Deleted in liver cancer 1,604258,"Colorectal cancer, somatic",114500,-,-,DLC1
"TUSC3, M33, D8S1992, MRT7, MRT22",Tumor suppressor candidate 3,601385,"Mental retardation, autosomal recessive 7",611093,AR,-,TUSC3
"MSR1, SCARA1, SRA",Macrophage scavenger receptor,153622,Barrett esophagus/esophageal adenocarcinoma,614266,-,~11cM distal to LPL,MSR1
"FGF20, RHDA2",Fibroblast growth factor-20,605558,?Renal hypodysplasia/aplasia 2,615721,AR,mutation identified in 1 RHDA2 family,FGF20
"VPS37A, HCRP1, SPG53",Vacuolar protein sorting 37A,609927,"Spastic paraplegia 53, autosomal recessive",614898,AR,-,VPS37A
"PDGFRL, PDGRL, PRLTS",Platelet-derived growth factor receptor-like,604584,"Colorectal cancer, somatic",114500,-,-,PDGFRL
"PDGFRL, PDGRL, PRLTS",Platelet-derived growth factor receptor-like,604584,"Hepatocellular cancer, somatic",114550,-,-,PDGFRL
"ASAH1, AC, SMAPME",N-acylsphingosine amidohydrolase (acid ceramidase) 1,613468,Farber lipogranulomatosis,228000,AR,-,ASAH1
"ASAH1, AC, SMAPME",N-acylsphingosine amidohydrolase (acid ceramidase) 1,613468,Spinal muscular atrophy with progressive myoclonic epilepsy,159950,AR,-,ASAH1
"NAT2, AAC2",Arylamine N-acetyltransferase-2,612182,"[Acetylation, slow]",243400,AR,acetylation polymorphism,NAT2
SCZD6,"Schizophrenia susceptibility locus, chromosome 8p-related",603013,{Schizophrenia},181500,AD,?neuregulin 1,SCZD6
"LPL, LIPD, HDLCQ11",Lipoprotein lipase,609708,"Combined hyperlipidemia, familial",144250,AD,-,LPL
"LPL, LIPD, HDLCQ11",Lipoprotein lipase,609708,Lipoprotein lipase deficiency,238600,AR,-,LPL
"LPL, LIPD, HDLCQ11",Lipoprotein lipase,609708,[High density lipoprotein cholesterol level QTL 11],-,-,-,LPL
"ATP6V1B2, ATP6B2, VPP3, DOOD, ZLS2","ATPase, H+ transporting, lysosomal, V1 subunit B, isoform 2",606939,"Deafness, congenital, with onychodystrophy, autosomal dominant",124480,AD,-,ATP6V1B2
"ATP6V1B2, ATP6B2, VPP3, DOOD, ZLS2","ATPase, H+ transporting, lysosomal, V1 subunit B, isoform 2",606939,Zimmermann-Laband syndrome 2,616455,AD,-,ATP6V1B2
"LZTS1, F37, FEZ1","Leucine zipper, putative tumor suppressor 1",606551,Esophageal squamous cell carcinoma,133239,AD,-,LZTS1
"FGF17, HH20",Fibroblast growth factor 17,603725,Hypogonadotropic hypogonadism 20 with or without anosmia,615270,AD,-,FGF17
"HR, AU, MUHH1, HYPT4","Hairless, mouse, homolog of",602302,Alopecia universalis,203655,AR,-,HR
"HR, AU, MUHH1, HYPT4","Hairless, mouse, homolog of",602302,Atrichia with papular lesions,209500,AR,-,HR
"HR, AU, MUHH1, HYPT4","Hairless, mouse, homolog of",602302,Hypotrichosis 4,146550,AD,-,HR
"SFTPC, SFTP2, SMDP2","Surfactant, pulmonary-associated protein C (pulmonary surfactant apoprotein-2, SP-C)",178620,"Surfactant metabolism dysfunction, pulmonary, 2",610913,AD,-,SFTPC
"BMP1, OI13",Bone morphogenetic protein-1,112264,"Osteogenesis imperfecta, type XIII",614856,AR,1kb 3' to SFTP2,BMP1
"SLC39A14, ZIP14, KIAA0062, HMNDYT2","Solute carrier family 39 (zinc transporter), member 14",608736,Hypermanganesemia with dystonia 2,617013,AR,-,SLC39A14
"TNFRSF10B, DR5, TRAILR2","Tumor necrosis factor receptor superfamily, member 10B",603612,"Squamous cell carcinoma, head and neck",275355,AR,-,TNFRSF10B
"NKX2-6, CSX2, CTHM","NK2, Drosophila, homolog of, 6",611770,Conotruncal heart malformations,217095,-,-,NKX2-6
"NKX2-6, CSX2, CTHM","NK2, Drosophila, homolog of, 6",611770,Persistent truncus arteriosus,217095,-,-,NKX2-6
"NEFL, CMT2E, CMT1F, CMTDIG","Neurofilament, light polypeptide",162280,"Charcot-Marie-Tooth disease, dominant intermediate G",617882,AD,-,NEFL
"NEFL, CMT2E, CMT1F, CMTDIG","Neurofilament, light polypeptide",162280,"Charcot-Marie-Tooth disease, type 1F",607734,"AD,AR",-,NEFL
"NEFL, CMT2E, CMT1F, CMTDIG","Neurofilament, light polypeptide",162280,"Charcot-Marie-Tooth disease, type 2E",607684,AD,-,NEFL
"GNRH1, LNRH, HH12",Gonadotropin-releasing hormone-1 (luteinizing-releasing hormone),152760,?Hypogonadotropic hypogonadism 12 with or without anosmia,614841,AR,mutation identified in 1 HH12 family,GNRH1
CHRNA2,"Cholinergic receptor, nicotinic, alpha polypeptide-2",118502,"Epilepsy, nocturnal frontal lobe, type 4",610353,AD,-,CHRNA2
EPHX2,"Epoxide hydrolase 2, cytoplasmic",132811,"{Hypercholesterolemia, familial, due to LDLR defect, modifier of}",143890,AD,-,EPHX2
ESCO2,"Establishment of cohesion 1, S. cerevisiae, homolog of, 2",609353,Roberts syndrome,268300,AR,-,ESCO2
ESCO2,"Establishment of cohesion 1, S. cerevisiae, homolog of, 2",609353,SC phocomelia syndrome,269000,AR,-,ESCO2
"EXTL3, EXTR1, ISDNA",Exostosin-like 3,605744,Immunoskeletal dysplasia with neurodevelopmental abnormalities,617425,AR,-,EXTL3
"GTF2E2, TTD6","General transcription factor IIE, polypeptide 2, beta subunit, 34kD",189964,"Trichothiodystrophy 6, nonphotosensitive",616943,AR,-,GTF2E2
"RECQL2, RECQ3, WRN","DNA helicase, RecQ-like 2",604611,Werner syndrome,277700,AR,-,RECQL2
"TTI2, C8orf41, MRT39",TELO2-interacting protein 2,614426,"Mental retardation, autosomal recessive 39",615541,AR,-,TTI2
SCLL,Chromosome 8p11 myeloproliferative syndrome (stem cell leukemia/lymphoma),613523,Chromosome 8p11 myeloproliferative syndrome,613523,-,translocation of FGFR1 (8p11) and various partners,SCLL
"ERLIN2, SPFH2, C8orf2, SPG18",Endoplasmic reticulum lipid raft-associated protein 2,611605,"Spastic paraplegia 18, autosomal recessive",611225,AR,-,ERLIN2
"PROSC, EPVB6D","Proline synthetase cotranscribed, bacteria, homolog of",604436,"Epilepsy, early-onset, vitamin B6-dependent",617290,AR,-,PROSC
ADRB3,"Adrenergic, beta-3-, receptor",109691,"{Obesity, susceptibility to}",601665,"AD,Mu,AR",-,ADRB3
STAR,Steroidogenic acute regulatory protein,600617,Lipoid adrenal hyperplasia,201710,AR,-,STAR
"DDHD2, KIAA0725, SPG54",DDHD domain-containing protein 2,615003,"Spastic paraplegia 54, autosomal recessive",615033,AR,-,DDHD2
"NSD3, WHSC1L1",Nuclear receptor-binding SET domain protein 3,607083,"Leukemia, acute myeloid",601626,AD,pseudogene on 17q21; fusion partner with NUP98 in AML,NSD3
"FGFR1, FLT2, OGD, KAL2, HH2, HRTFDS, ECCL",Fibroblast growth factor receptor-1 (fms-related tyrosine kinase-2),136350,Encephalocraniocutaneous lipomatosis,613001,SMo,"fused with BCR, CEP1, FOP, FIM in hematologic malignancies",FGFR1
"FGFR1, FLT2, OGD, KAL2, HH2, HRTFDS, ECCL",Fibroblast growth factor receptor-1 (fms-related tyrosine kinase-2),136350,Hartsfield syndrome,615465,AD,-,FGFR1
"FGFR1, FLT2, OGD, KAL2, HH2, HRTFDS, ECCL",Fibroblast growth factor receptor-1 (fms-related tyrosine kinase-2),136350,Hypogonadotropic hypogonadism 2 with or without anosmia,147950,AD,-,FGFR1
"FGFR1, FLT2, OGD, KAL2, HH2, HRTFDS, ECCL",Fibroblast growth factor receptor-1 (fms-related tyrosine kinase-2),136350,Jackson-Weiss syndrome,123150,AD,-,FGFR1
"FGFR1, FLT2, OGD, KAL2, HH2, HRTFDS, ECCL",Fibroblast growth factor receptor-1 (fms-related tyrosine kinase-2),136350,Osteoglophonic dysplasia,166250,AD,-,FGFR1
"FGFR1, FLT2, OGD, KAL2, HH2, HRTFDS, ECCL",Fibroblast growth factor receptor-1 (fms-related tyrosine kinase-2),136350,Pfeiffer syndrome,101600,AD,-,FGFR1
