Disease_name,疾病名称（中文）,OMIM_id,Disease_name,OMIM英文名,OMIM中文名,Phenotype,遗传模式,incomplete penetrance,没有
Rolandic epilepsy,Rolandic癫痫,117100;245570,,focal epliepsy with speech disorder with or without mental retardation,局灶性癫痫，语言障碍伴或不伴智力低下,失认，失语症，全面发育迟缓，语言发育迟缓，IP，语言障碍，注意力缺陷多动障碍，智力残疾，表现度差异，失读症，局灶性癫痫发作，双侧痉挛发作，脑电图伴中央颞区棘波，散发的,AD,IP,
Familial hypospadias,,146450;300633;300758;300856,,,,尿道下裂,AD，XR,,
Succinyl-CoA:3-ketoacid CoA transferase deficiency,琥珀酰辅酶A：3酮酸辅酶A转移缺乏症,245050,,Succinyl-CoA:3-ketoacid CoA transferase deficiency,琥珀酰辅酶A：3酮酸辅酶A转移缺乏症,呼吸过速，阵发性酸中毒，呕吐，酮尿,AR,,
3-methylcrotonyl-CoA carboxylase deficiency,3-甲基巴豆酰辅酶A羟化酶缺乏症2型,210200;210210,,3-methylcrotonyl-CoA carboxylase 2  deficiency ,3-甲基巴豆酰辅酶A羟化酶缺乏症2型,肌张力减退，未能在婴儿期茁壮成长，低血糖，高氨血症，有机酸尿症，亮氨酸代谢异常，运动异常,AR,,
3-hydroxy-3-methylglutaric aciduria,3-羟基-3-甲基戊二酰辅酶A裂解酶缺乏症,246450,,3-hydroxy-3-methylglutaric-coa lyase  deficiency,3-羟基-3-甲基戊二酰辅酶A裂解酶缺乏症,"代谢性酸中毒，嗜睡，肝脏肿大，3-甲基戊二酸尿症，高氨血症，发热，昏迷，低血糖，儿童期死亡,戊二酸尿症，血浆肉碱降低",AR,,
bisphosphoglycerate mutase deficiency,双磷酸甘油酸变位酶缺乏症,222800,,bisphosphoglycerate mutase deficiency,双磷酸甘油酸变位酶缺乏症,非椭圆形细胞性溶血性贫血，胆囊炎，代谢紊乱/稳态失衡，正常红细胞性贫血，胆石症，黄疸，正常色素性贫血，脾肿大,AR,,
nonsperocytic Hemolytic anemia due to glucose phosphate isomerase deficiency,葡糖磷酸异构酶缺乏性非球形红细胞溶血性贫血,613470,,nonsperocytic Hemolytic anemia due to glucose phosphate isomerase deficiency,葡糖磷酸异构酶缺乏性非球形红细胞溶血性贫血,自发性溶血危象，共济失调，胆色素胆结石，胆囊炎，脾肿大，葡萄糖磷酸异构酶活性降低，黄疸，肌无力，中性粒细胞杀菌活性降低，非椭圆形细胞性溶血性贫血，感觉性共济失调，智力残疾,AR,,
"Rhizomelic dysplasia, Patterson-Lowry type",,601438,,,,内眦赘皮，下颌前突畸形，宽鼻，鼻嵴凹陷，短指畸形综合征，髋内翻，膝外翻，短鼻，脊柱前凹过度，椎体形态异常，手指偏离，肱骨头变形，肱骨短，肢体短缩，短掌，脸部扁平，大脸,,,
Infundibulopelvic stenosis-multicystic kidney syndrome,,600989,,,,镜下血尿症，多囊性肾发育不全，腹痛,AD,,
Autosomal recessive limb-girdle muscular dystrophy type 2M,肢带型肌营养不良2M型,611588,, limb-girdle muscular dystrophy type 2M,肢带型肌营养不良2M型,肌肥大，高尔斯征，马蹄内翻足，进行性/渐进性，表现度差异，屈曲挛缩，脊柱前凹过度，漏斗胸，腱反射减弱，肌营养不良，婴幼儿期发病，运动延迟，肌张力减退，血清肌酸磷酸激酶升高,AR,,
Autosomal recessive limb-girdle muscular dystrophy type 2L,肢带型肌营养不良2L型,611307,, limb-girdle muscular dystrophy type 2L,肢带型肌营养不良2L型,肌营养不良，进行性/渐进性，表现度差异，EMG:肌病异常，小腿肌肉肥大，近端肌肉无力，肌痛，骨盆带肌无力，面部神经麻痹，肩胛带肌肉无力，肌营养不良，血清肌酸磷酸激酶升高,AR,,
Craniomicromelic syndrome,,602558,,,,宫内发育迟缓，大囟门颅骨骨化，肢体缺失，狭窄的小睑裂，窄小的鼻，微小病变，微管病， 低的后旋的耳朵，后发性脑膨出,,,
Autosomal recessive limb-girdle muscular dystrophy type 2O,肢带型肌营养不良2O型,613157,, limb-girdle muscular dystrophy type 2O,肢带型肌营养不良2O型,运动延迟，近视，爬楼梯困难，脊柱前凹过度，肌营养不良，高尔斯征，肌肥大，血清肌酸磷酸激酶升高，疲倦，进行性/渐进性,AR,,
Autosomal recessive limb-girdle muscular dystrophy type 2N,肢带型肌营养不良2N型,613158,, limb-girdle muscular dystrophy type 2N,肢带型肌营养不良2N型,肌肥大，血清肌酸磷酸激酶升高，婴幼儿期发病，表现度差异，运动延迟，近端肌肉无力，肌营养不良，右束支传导阻滞,AR,,
Autosomal recessive distal spinal muscular atrophy 4,常染色体隐性远端脊肌萎缩症4型,611067,,Autosomal recessive distal spinal muscular atrophy 4,常染色体隐性远端脊肌萎缩症4型,爬楼梯困难，远端肌无力，行走困难，脊肌萎缩，儿童期发病，手指关节痉挛，肩腓肌萎缩，下运动神经元的异常，远端肌肉萎缩，肌电图:神经性变化，肌肉无力导致的呼吸功能不全，近端肌肉无力，脊柱侧弯，脊柱前凹过度，马蹄内翻足，蹒跚步态，急性进行性，神经反射消失,AR,,
Von Voss-Cherstvoy syndrome,,223340,,,,上肢皮损，脑膨出，可变脑异常，泌尿生殖系统异常，血小板减少症,AR,,
Hypomyelination neuropathy-arthrogryposis syndrome,,616286;616287,,lethal congenital contracture syndrome 8,致死性先天挛缩综合征8型,肌张力减退，腱反射减低，关节活动受限，呼吸窘迫，肌电图异常,,,
Ovarian gonadoblastoma,,424500,,,,"卵巢异常，卵巢性腺母细胞瘤，染色体核型为46,XY个体表现为女性外生殖器，男性性腺发育不全，女性外表，性腺钙化，无性细胞瘤",YL,,
Müllerian derivatives-lymphangiectasia-polydactyly syndrome,,235255,,,,室间隔缺损，胸窄，巨脑室，隐睾，低位耳，肝功能衰竭，轴后多指畸形，宽鼻梁，腹水，短颈，肝脏肿大，小下颌畸形，淋巴水肿，牙槽嵴增生，人中扁平，平颧骨，枕骨扁平，多毛症，脾肿大，低蛋白血症，肺淋巴管扩张，高腭，眼球突出，婴幼儿死亡，下斜睑裂，甲状腺淋巴管扩张，低钙血症，胰腺淋巴管扩张，腹胀，腭裂，羊水过多，肌张力减退，蛋白丢失性肠病，颈部皮肤皱褶冗赘，肾积水，眼距过宽，腹股沟疝，小阴茎，薄上唇，颈部皮肤冗余，面中部后缩,AR,,
Laron syndrome,Laron综合征,262500,,pituitary dwarfism 2,垂体性侏儒症2型,小下颌畸形，额头高，牙齿萌出延迟，小牙畸形，内分泌系统异常，青春期延迟，短指畸形综合征，运动延迟，短指（趾）畸形，低血糖，躯干性肥胖，面部形状异常，骨骼成熟延迟，严重的身材矮小，鼻梁发育不全，阴茎发育不良，牙齿数量减少，肘部异常，眶上脊发育不良，鼻子发育不全／低下,AR,,
Otopalatodigital syndrome,耳-腭-指综合征,304120;311300,,Otopalatodigital syndrome 1,耳-腭-指综合征1型,颅脑斜坡垂直，前额突出，短肋骨，波浪形锁骨，呼吸衰竭，宽脸，面中部后缩，出生后生长迟缓，指交叠，死胎，头钩骨融合，脸部扁平，甲营养不良，脚拇趾变宽，小下颌畸形，拇趾短，第3掌骨短，第4掌骨短，手指短末节指骨，拇指远节指骨增宽，第5掌骨短小，腓骨退化，桡骨弯曲，第2指桡侧偏差，胸窄，缝间骨，低位耳，峡部裂，第5跖骨未骨化，隐睾，扁平椎骨，短拇指，尺骨弯曲，轴后多指畸形，颅底硬化，前额突出，胫骨弯曲，身材矮小，平颧骨，漏斗胸，拇指变宽，前囟增宽，鼻梁凹陷，脚趾并指畸形，脑积水，脐膨出，洋葱球茎状的脚趾尖，下斜睑裂，智力残疾，股骨弯曲，后旋耳，前囟闭合延迟，肾积水，短掌，尿道下裂，传导性听力障碍，先天性髋关节脱位，嘴巴狭窄，腭裂，短跖骨，不规则掌骨，髂骨发育低下，跷足底部，眼距过宽，脊柱侧弯，厚颅底，趾指畸形，髋关节脱位，股外侧弯曲，第五跖骨异常，宽鼻梁，无额窦，甲发育不良，眶上脊突出，短鼻，枕骨突出，膝关节屈曲挛缩，髋外翻，轻度智力残疾，桡骨小头脱位，多个阻生齿，副腕骨，选择性牙齿发育不全，腕骨的骨性连合，跟骨二深裂，伸肘受限,XD,,
Kallmann syndrome,Kallmann综合征,616030;147950;244200;308700;610628;612370;612702;614837;614838;614840;614858;614880;614897;615266;615267;615269;615270;615271,,hypogonadotropic hypogonadism 21,低促进腺素性功能减退症21型,低促性腺素性功能减退症，阴囊裂，薄上唇，眼距过宽，宽前额，嗅觉丧失，内眦距过宽，一字眉，皮肤色素减退斑，短指畸形综合征，掌骨异常，关节僵硬，膝外翻，短鼻，鼻孔异常，阴茎发育不良，手指短末节指骨，趾甲发育缺陷/不全，颧骨发育不全,AD,,
Hereditary spherocytosis,遗传性球形细胞增多,182900;270970;612653;612690;616649,,spherocytosis 2,球形细胞增多症2型,高胆红素血症，黄疸，脾肿大，溶血性贫血，网状细胞过多，球形红细胞增多症，黄疸，网状细胞过多，高胆红素血症，脾肿大，溶血性贫血，球形红细胞增多症，胆石症,AD，AR,,
Xeroderma pigmentosum,着色性干皮病,278700;278720;278730;278740;278760;278780;610651,,Xeroderma pigmentosum group a,着色性干皮病A组,隐睾，性腺机能低下，牙齿异常，感音神经性耳聋，斜视，角膜炎，白内障，结膜毛细血管扩张，视神经萎缩，干性皮肤，角化过度，薄皮，光感性皮肤，毛细血管扩张，皮肤异色症，色素沉着斑，皮肤色素减退斑，皮肤增厚，雀斑，未能茁壮成长，发热，脑电图异常，发育倒退，关节疼痛，恶性黑素瘤，皮肤萎缩，进行性智力残疾，红斑，疲倦，斑疹，乳头状瘤，认知障碍，皮肤毛细血管扩张症,AR,,
Familial aortic dissection,,607086,,,,心脏扩大，动脉导管未闭，主动脉瓣反流，冠状动脉疾病，升主动脉瘤，劳力性呼吸困难，升主动脉夹层，降主动脉瘤，左心室功能受损，降主动脉夹层，阵发性呼吸困难，胸痛，主动脉囊性中层坏死,,,
X-linked non-syndromic intellectual disability,X连锁非综合征型智力低下,300983;300850;300851;300852;300919;300928;309530;309549;300210;300271;300324;300355;300372;300387;300419;300428;300433;300436;300454;300498;300504;300505;300518;300558;300705;300716;300802;300803;300844;300848;300849;300046;300047;300062;300114;300115;300143;300984;300978,,X-linked mental retardation 104,X连锁智力低下104型,智力残疾,,,
Hemolytic anemia due to red cell pyruvate kinase deficiency,红细胞丙酮酸激酶缺乏引起的溶血性贫血,266200,,pyruvate kinase deficiency,丙酮酸激酶缺乏症,高非结合胆红素血症，非免疫性胎儿水肿，胎儿宫内发育迟缓，红细胞渗透脆性增加，胆石症，胆囊炎，慢性溶血性贫血，网状细胞过多，黄疸，脾肿大，羊水异常，血小板减少，贫血，甲基丙二酸尿症，酮尿，呕吐，高氨血症，中性粒细胞减少，甲基丙二酰辅酶A变位酶活性降低，癫痫发作，肝脏肿大，酮症，嗜睡，震颤，肌张力减退，昏迷，婴幼儿期发病，全面发育迟缓，高甘氨酸血症，全血细胞减少，代谢性酸中毒，腺苷钴胺素减少，甲基丙二酸血症，婴儿期喂养困难，未能茁壮成长，呼吸窘迫，脱水，新生儿期发病，酮尿，肌张力障碍，大脑皮层萎缩，甲硫氨酸合成酶活性降低，眼球震颤，痉挛性共济失调，智力残疾，低甲硫氨酸血症，高同型半胱氨酸血症，巨幼细胞性贫血，高胱氨酸尿症，巨红细胞症，甲基钴胺素减少，，,AR,,
Vitamin B12-responsive methylmalonic acidemia,,251100;251110;277410,,methylmalonic acidemia and homocystinuria cbid type,甲基丙二酸尿症伴同型半胱氨酸尿症cbid型,智力残疾，肌张力减退，嗜睡，昏迷，全面发育迟缓，未能茁壮成长，脱水，高氨血症，恶心和呕吐，呼吸功能不全，肝脏肿大,AR,,
Stüve-Wiedemann syndrome,schwartz-jampel综合征,601559,,schwartz-jampel syndrome，type 2,schwartz-jampel综合征2型,牙关紧闭，眼部异常，视力异常，流泪异常，长骨骨皮质增厚，骨质疏松，骨质疏松，干骺端异常，少汗症，多汗症，屈曲挛缩，关节活动受限，胎儿宫内发育迟缓，羊水过少，马蹄内翻足，阵发性发热，呼吸窘迫，哮喘，呼吸暂停，自主神经功能失调，脊柱侧弯，骨骼发育不良，复发性骨折，膝外翻，短肢，肘屈曲挛缩，干骺端增宽，异常的骨皮质形态异常，感觉异常，身材矮小，膝关节屈曲挛缩，长骨弯曲，痛觉障碍，婴儿期喂养困难，舌面光滑，手指屈曲挛缩，手指弯曲,AR,,
Adult polyglucosan body disease,成人葡聚糖体病,263570,,Adult polyglucosan body disease,成人葡聚糖体病,神经性膀胱功能障碍，尿失禁，行为异常，智力残疾，痉挛状态，轻偏瘫，步态不稳，肌无力，膀胱括约肌功能障碍，远端感觉障碍，锥体功能障碍，周围神经病，皮肤溃疡,AR,,
Okamoto syndrome,,604916,,,,先天性肾积水，智力缺陷，发育迟缓，腭裂，全身性张力减退，特征性面部，心脏异常,,,
Leber congenital amaurosis,laber氏先天性黑蒙,179900;204000;204100;604232;604393;604537;608553;610612;611755;612712;613341;613826;613829;613835;613837;613843;614186;615360,,Leber congenital amaurosis 17,laber氏先天性黑蒙17型,视网膜电流图异常，白内障，圆锥角膜，眼球震颤，严重的视力障碍，癫痫发作，肌张力减退，脑膨出，神经细胞迁移异常，偏瘫/轻偏瘫，小脑蚓部发育缺陷/发育不全，视网膜色素沉着异常，视盘异常,AD，AR,,
Multiple osteochondromas,遗传性多发性软骨癌,133700;133701;600209,,hereditary Multiple osteochondromas type 2,遗传性多发性软骨癌2型,髋内翻，膝外翻，足部异常，短掌，肩胛外生骨疣，长骨末端突起，脊髓型颈椎病，盆骨外生骨疣，周围神经受压，身材矮小，肋骨外生骨疣，软骨肉瘤，青少年性发病，马德隆样前臂畸形，多发性外生骨疣,AD,,
Lynch syndrome,Lynch综合征,120435;609310;613244;614331;614337;614350;614385,,hereditary nonpolyposis colorectal cancer type 7,遗传性非息肉性结直肠癌7型,体重减轻，便秘，吸收不良，腹痛，胃肠道出血，结肠癌，疲倦，胶质母细胞瘤，行为异常，抑郁，易激惹，焦虑，癫痫发作，肌张力减退，肌张力增高，婴幼儿死亡，恶心和呕吐，偏头痛，颅内压增高，注意力缺陷多动障碍，成年早期死亡，直肠肿瘤,AD,,
Bardet-Biedl syndrome,Bardet-Biedl综合征,617119;209900;600151;605231;615981;615982;615983;615984;615985;615986;615987;615988;615989;615990;615991;615992;615993;615994;615995;615996,,Bardet-Biedl syndrome 19,Bardet-Biedl综合征19型,多囊性肾发育不全，性腺机能低下，视网膜电流图异常，色素性视网膜病，眼球震颤，高血压，轴后多指畸形，智力残疾，肥胖，身材矮小，卵巢发育不良，阴茎发育不良,AR,,
Orofaciodigital syndrome type 10,,165590,,,,腭裂，跗骨融合，少指（趾）畸形，腓骨发育不全，鼻梁凹陷，下颌后缩，Preaxial多指手，内眦距过宽,AD,,
Atypical Rett syndrome,Atypical Rett综合征,300672;312750;613454,,congenital variant rett syndrome,先天变异型rett综合征,宽嘴，小头畸形，长人中，听力障碍，鼻翼发育不全，宽鼻，肾结石，掌骨异常，指甲异常，智力残疾，癫痫发作，痉挛状态，胃食管反流，巨脑室，大脑皮层萎缩，绒毛，脑电图异常，发育倒退，小手指屈指畸形，小脑发育缺陷/发育不全，对耳屏异常，厚嘴唇，运动异常，手指弯曲,XD,,
Succinic acidemia,,600335,,,,肌肉组织中的线粒体异常,,,
Microgastria-limb reduction defect syndrome,,156810,,,,短肢畸形，I型动脉干，无鼻无脑畸形，多小脑回，无脾，盆腔肾，尺骨发育低下，无眼畸形，拇指缺失，散发的，无神经节性巨结肠，桡骨发育低下，未能茁壮成长，少指（趾）畸形，肠旋转不良，马蹄肾，肺分叶异常，双角子宫，隐睾，胃食管反流，胆道异常，单侧肾未发育，囊性肾发育不良，胼胝体发育不全，第二房间隔缺损，小胃，左右丘脑融合，胆囊缺失,,,
Atherosclerosis-deafness-diabetes-epilepsy-nephropathy syndrome,,209010,,,,隐睾，蛋白尿，肾病综合征，肾病，感音神经性耳聋，高血压，肌张力增高，步态不稳，光肌阵挛，震颤，关节活动受限，二尖瓣异常，贫血，大脑皮层萎缩，进行性神经功能恶化，线粒体代谢异常，脊柱前凹过度，身材矮小，冠状动脉粥样硬化，脑动脉粥样硬化，小脑发育缺陷/发育不全，动脉狭窄，1型糖尿病,AR,,
X-linked intellectual disability-plagiocephaly syndrome,,300064,,,,面容粗糙，前额突出，短头畸形，中度智力残疾，斜头畸形,XL,,
Aplasia cutis congenita,先天性表皮发育不良,107600,,nonsyndromic aplasia cutis congenita,非综合征型先天性表皮发育不良,颅骨缺损，先天性头顶部表皮发育不全，先天性局部皮肤缺损，椎管闭合不全，皮肤溃疡,AD，AR,,
Fine-Lubinsky syndrome,Fine-Lubinsky综合征,601353,,,,智力残疾，长睫毛，隐睾，巨角膜，癫痫发作，脊柱侧弯，小耳畸形，低位耳，生长延迟，下斜睑裂，后旋耳，脸部扁平，长人中，脑萎缩，锥形手指，薄上唇，短鼻，短指畸形综合征，胼胝体发育不良，先天性手指弯曲，肌张力减退，披肩状阴囊，嘴巴狭窄，腭裂，高位鸡胸，眼距过宽，跷足底部，短头畸形，腋毛稀疏，听力障碍，劣质胸骨漏斗胸，浅眼眶，乳房发育不良，白内障，平颧骨，阴囊发育不良，散发的，全面发育迟缓,AR,,
Spinocerebellar ataxia type 29,脊髓小脑共济失调29型,117360,,Spinocerebellar ataxia type 29,脊髓小脑共济失调29型,构音障碍，表型多样性，非进行性小脑性共济失调，先天发病，眼球震颤，小脑蚓部萎缩，轮替运动障碍，运动延迟，宽基步态，意向性震颤，认知障碍，肢体共济失调，辨距不良,AD,,
"Arthrogryposis-hyperkeratosis syndrome, lethal form",,208158,,,,先天性关节挛缩，角化过度,,,
nicolaides-baraitser syndrome,nicolaides-baraitser综合征,601358,,nicolaides-baraitser syndrome,nicolaides-baraitser综合征,手指的指骨短，失语，重度智力残疾，攻击性行为，下斜睑裂，湿疹，指间关节突出，未能茁壮成长，癫痫发作，脊柱侧弯，趾指畸形，鼻梁狭窄，宽人中，身材矮小，短掌，少言寡语，三角脸，宽嘴，牙间隙增宽，宽鼻基，长人中，鼻孔前翻，小头畸形，短跖骨，下唇唇红外翻，前发际低，单侧睑裂狭小，胎儿宫内发育迟缓，脱发，厚下唇，隐睾，短指畸形综合征,AD,,
symmetric of asymmetric polymicrogyria,对称或不对称性多小脑回畸形,610031,,symmetric of asymmetric polymicrogyria,对称或不对称性多小脑回畸形,有限的眼运动，先天性眼外肌纤维化，小头畸形，智力残疾，巨脑回，胼胝体发育不全，流涎，胼胝体发育不良，全面发育迟缓，运动延迟，癫痫发作，小脑发育不全，特定的学习障碍，单侧多小脑回，额顶叶皮质发育不良，轻偏瘫,AD，AR,,
 parasagittal，Bilateral temporooccipital,双侧颞沈的多小脑回,612691,, parasagittal，Bilateral temporooccipital,双侧颞沈的多小脑回,巨脑室，幻视，表现度差异，多小脑回，攻击性行为，癫痫持续状态，局灶性发作伴有意识障碍,AR,,
"Progeroid syndrome, Petty type",,612289,,,,下唇唇红外翻，前囟增宽，内眦赘皮，下颌前突畸形，宽前额，低位后旋转耳，斜视，粗眉毛，皮肤松弛症，皮下脂肪减少，未能茁壮成长，胎儿宫内发育迟缓，脐疝，赘肉，毛发异常，指（趾）甲异常，全身性多毛症，毛发干枯，身材矮小，头骨骨化减少，皮纹异常，早老面容，不规则行列的长睫毛，毛发稀疏，鲛鱼皮斑，牙齿数量减少，手指短末节指骨，脂肪萎缩,,,
"Brachydactylous dwarfism, Mseleni type",,613342,,,,骨质疏松，干骺端异常，短指畸形综合征，关节形态异常，关节炎，膝盖异常，手腕异常，髋骨异常，椎体形态异常，身材矮小，骨骺异常，肘部异常,,,
"Craniosynostosis, Boston type",颅缝早闭，Boston type型,604757,,Craniosynostosis 2,颅缝早闭2型,近视，椎骨异常，腭裂，三指节拇指，颅缝早闭，前额突出，眶上脊发育不良，癫痫发作,AD,,
Cholestasis-pigmentary retinopathy-cleft palate syndrome,,612726,,,,眼睑裂狭小，动脉导管未闭，肝脏肿大，膀胱输尿管返流，胆管炎，卵圆孔未闭，肾积水，室间隔缺损，门脉高压症，散发的，复发性尿路感染，脾肿大，视网膜脉络膜变性，肺动脉狭窄，主动脉缩窄，瘙痒，阴道闭锁，先天发病，肠旋转不良，肝脏转氨酶升高，输尿管积水，输尿管狭窄，腭裂，上唇裂，高胆红素血症，黄疸，未能茁壮成长，生长延迟，斑驳病，色素性视网膜病,,,
"Adult-onset proximal spinal muscular atrophy, autosomal dominant",成人发病型近端脊肌萎缩症,182980,,"Adult-onset proximal spinal muscular atrophy,",成人发病型近端脊肌萎缩症,肌电图:神经性变化，腱反射减弱，肌束震颤，脊肌萎缩，近端肌肉无力,AD,,
autosomal dominant lower extremity-predominant spinal muscular atrophy 1,常染色体显性下肢明显型脊肌萎缩症,158600,,autosomal dominant lower extremity-predominant spinal muscular atrophy 1,常染色体显性下肢明显型脊肌萎缩症,感觉损害，足部异常，跑步困难，膝反射减弱，缓慢病程，2型肌纤维优势，蹒跚步态，儿童期发病，下肢近端肌无力，肌电图:神经性变化，脊肌萎缩，下肢近端肌肉萎缩,AD,,
Short stature-intellectual disability-eye anomalies-cleft lip/palate syndrome,,608578,,,,癫痫发作，小阴茎，隐睾，宽嘴，口裂，薄上唇红，三角头畸形，下颌后缩，尖下巴，眼距过宽，小头畸形，常染色体显性遗传，长人中，低位耳，耳轮过度卷曲，常染色体隐性遗传，宽鼻梁，感音神经性耳聋，鼻孔前翻，短颈，脉络膜视网膜缺损，上睑下垂，虹膜缺损，长睑裂，小眼畸形，胼胝体发育不全，二叶主动脉瓣，巨脑回，智力残疾，动脉导管未闭，全面发育迟缓，无脑回畸形，代谢紊乱/稳态失衡，主动脉瓣狭窄，肌张力减退，巨脑室，后发际低，短鼻，高拱形眉毛，内眦赘皮，脚拇趾趾骨重复，出生后生长迟缓，身材矮小,,,
autosomal recessive osteopetrosis 6,常染色体隐性骨硬化症6型,611497,,autosomal recessive osteopetrosis 6,常染色体隐性骨硬化症6型,股骨锥形瓶状变形，骨硬化，干骺端致密带,AR,,
interleukin 1 receptor antagonist deficiency,白介素-1受体拮抗剂缺乏症,612852,,interleukin 1 receptor antagonist deficiency,白介素-1受体拮抗剂缺乏症,肝脏肿大，角化过度，呼吸窘迫，口腔炎，颈椎融合，骨膜炎，骨髓炎，关节肿胀，脾肿大，关节疼痛，间质性肺疾病,AR,,
IRIDA syndrome,IRIDA综合征,206200,,iron-refractory iron deficiency anemia,铁剂抵抗性缺铁性贫血,苍白圈，智力残疾，肠道异常，鱼鳞病，周围神经病，肝内胆汁淤积，低铜血症，角化过度,AR,,
Celiac disease-epilepsy-cerebral calcification syndrome,,226810,,,,乳糜泻,,,
Congenital alveolar capillary dysplasia,先天性肺泡毛细血管发育不良,265380,,alveolar capillary dysplasia with misalignment of pulmonary veins,肺泡毛细血管发育不良伴肺静脉失调,动脉导管未闭，肺动脉高压，呼吸窘迫，肠旋转不良，左心发育不全,AD，AR,,
Urocanic aciduria,尿刊酸酶缺乏症,276880,,Urocanase  deficiency,尿刊酸酶缺乏症,共济失调，构音障碍，步态共济失调，躯干性共济失调，宽基步态，动作性震颤，反复感染，腱反射亢进，凝视诱发水平眼震，组氨酸族氨基酸代谢异常，尿刊酸尿症,AR,,
Pontocerebellar hypoplasia type 1,脑桥小脑发育不全1型,607596;614678;616081,,Pontocerebellar hypoplasia type 1,脑桥小脑发育不全1C型,反射亢进，进行性/渐进性，全面发育迟缓，基底神经节神经元丢失，先天发病，肌束震颤，肌无力，脊肌萎缩，共济失调，婴儿期喂养困难，足部异常，智力残疾，视网膜营养不良，表现度差异，屈曲挛缩，喂养困难，渐进性小头畸形，髋关节脱位，舌萎缩，小脑萎缩，呼吸功能不全，脑萎缩，躯干肌张力减退，小脑囊肿，舌肌束震颤，癫痫发作，斜视，肌萎缩，眼球震颤，头部控制能力弱，痉挛状态，失语，动眼运动异常，生长延迟，胼胝体发育不良，视觉障碍，痉挛性四肢轻瘫，呼吸衰竭，听力障碍，大脑皮层萎缩，未能茁壮成长，小脑蚓部发育不全,AR,,
Autosomal recessive spastic paraplegia type 18,常染色体隐性痉挛性截瘫18型,611225,,Autosomal recessive spastic paraplegia  18,常染色体隐性痉挛性截瘫18型,巴彬斯基征，痉挛性截瘫，步态不稳，驼背，下肢肌肉无力，智力残疾，失语，缓慢病程，胼胝体发育不良，反射亢进，进行性/渐进性，高腭，癫痫发作，斜视，脊柱侧弯，高弓足，上肢痉挛，肌萎缩,AR,,
Episodic ataxia type 6,发作性共济失调6型,612656,,Episodic ataxia type 6,发作性共济失调6型,偏头痛，偏瘫，发作性共济失调，癫痫发作，轻偏瘫，躯干性共济失调，言语不清,,,
Episodic ataxia type 7,发作性共济失调7型,611907,,,,发作性共济失调，肌无力，眩晕，构音障碍,AD,,
Childhood apraxia of speech,儿童语言障碍,602081,,speech-language disorder 1,语言障碍1型,难以理解的言语，语言发育迟缓，基底节异常，脸部异常，语言障碍,AD,,
Brain-lung-thyroid syndrome,脑肺甲状腺综合征,610978,,Brain-lung-thyroid syndrome,脑肺甲状腺综合征,促甲状腺激素产生过多，运动延迟，舞蹈手足徐动，共济失调，反复呼吸道感染，构音障碍，肌张力减退，先天性甲状腺功能减退症，先天发病，新生儿呼吸窘迫，肌张力障碍，全面发育迟缓，先天性中隔缺损，哮喘，代偿性甲状腺功能减退症，睡眠障碍，呼吸窘迫,AD,,
retinal cone dystrophy 3B,视锥营养不良3B型,610356,,retinal cone dystrophy 3B,视锥营养不良3B型,盲点，锥杆营养不良，水平眼震，畏光，夜盲症，散光，斜视，近视,,,
familial cirrhosis,家族性肝硬化,215600,,familial cirrhosis,家族性肝硬化,嗜睡，发热，黄疸，食管静脉曲张，腹胀，小结节性肝硬变，肺动脉高压,,,
Extraskeletal myxoid chondrosarcoma,骨外粘液样软骨肉瘤,612237,,Extraskeletal myxoid chondrosarcoma,骨外粘液样软骨肉瘤,体细胞突变，软骨肉瘤,,,
MECP2-related severe neonatal encephalopathy,MECP2相关重症新生儿脑病,300673,,MECP2-related severe neonatal encephalopathy,MECP2相关重症新生儿脑病,反射亢进，呼吸功能不全，中枢性低通气，躯干肌张力减退，癫痫发作，进行性智力残疾，先天发病，脑电图异常，多小脑回，全面发育迟缓，胃食管反流，未能茁壮成长，婴儿期喂养困难，呼吸暂停，肌阵挛，渐进性小头畸形，强直，重度智力残疾,,,
Familial juvenile hyperuricemic nephropathy type 1,家族性幼年高尿酸血症性肾病1型,162000,,Familial juvenile hyperuricemic nephropathy type 1,家族性幼年高尿酸血症性肾病1型,青少年性发病，肾功能不全，肾病，痛风，肾小管萎缩，进行性/渐进性,AD,,
stickler syndrome，type 1，nonsyndromic ocular,非典型史蒂克勒氏综合征,609508,,stickler syndrome，type 1，nonsyndromic ocular,非典型史蒂克勒氏综合征,近视，玻璃体异常，孔源性视网膜脱离,AD,,
Myoclonic dystonia 15,,607488,,,,抑郁，构音障碍，焦虑，眼睑痉挛，喉肌张力障碍，斜颈，肌阵挛，进行性/渐进性，IP，肌张力减退，抑郁，震颤，书写痉挛，斜颈，强迫行为，焦虑，广场恐怖症，青少年性发病,AD,IP,
Dystonia 16,张力失调16型,612067,,Dystonia 16,张力失调16型,运动迟缓,,,
Catecholaminergic polymorphic ventricular tachycardia,儿茶酚胺敏感性多形性室性心动过速,604772;611938;614021;614916;615441,,Catecholaminergic polymorphic ventricular tachycardia 5 with or without muscle weakness,儿茶酚胺敏感性多形性室性心动过速5型伴或不伴肌无力,房颤，癫痫发作，晕厥，猝死，室性心动过速，眩晕，心脏骤停，近端肌肉无力,AD,,
